[1]	test-error:0.310500	train-error:0.648333
[2]	test-error:0.107900	train-error:0.226717
[3]	test-error:0.092400	train-error:0.137467
[4]	test-error:0.075600	train-error:0.106533
[5]	test-error:0.060500	train-error:0.093767
[6]	test-error:0.055300	train-error:0.087417
[7]	test-error:0.060600	train-error:0.078700
[8]	test-error:0.050400	train-error:0.077283
[9]	test-error:0.047300	train-error:0.072300
[10]	test-error:0.043900	train-error:0.066783
[11]	test-error:0.045800	train-error:0.062883
[12]	test-error:0.041900	train-error:0.062933
[13]	test-error:0.042700	train-error:0.059600
[14]	test-error:0.041000	train-error:0.059050
[15]	test-error:0.039900	train-error:0.055217
[16]	test-error:0.040100	train-error:0.054850
[17]	test-error:0.040400	train-error:0.053417
[18]	test-error:0.038500	train-error:0.051067
[19]	test-error:0.037800	train-error:0.050083
[20]	test-error:0.038600	train-error:0.049533
[21]	test-error:0.036100	train-error:0.048717
[22]	test-error:0.035900	train-error:0.046617
[23]	test-error:0.034500	train-error:0.046100
[24]	test-error:0.035000	train-error:0.044317
[25]	test-error:0.034800	train-error:0.044867
[26]	test-error:0.034400	train-error:0.042300
[27]	test-error:0.032000	train-error:0.040717
[28]	test-error:0.032700	train-error:0.039250
[29]	test-error:0.033800	train-error:0.039333
[30]	test-error:0.033200	train-error:0.037567
[31]	test-error:0.033100	train-error:0.037750
[32]	test-error:0.032200	train-error:0.036967
[33]	test-error:0.032700	train-error:0.036800
[34]	test-error:0.031500	train-error:0.036500
[35]	test-error:0.032900	train-error:0.036150
[36]	test-error:0.031100	train-error:0.036000
[37]	test-error:0.031100	train-error:0.034033
[38]	test-error:0.030000	train-error:0.033900
[39]	test-error:0.029300	train-error:0.033117
[40]	test-error:0.030800	train-error:0.031517
[41]	test-error:0.030000	train-error:0.032983
[42]	test-error:0.030900	train-error:0.031133
[43]	test-error:0.030300	train-error:0.031333
[44]	test-error:0.029300	train-error:0.030900
[45]	test-error:0.029500	train-error:0.031317
[46]	test-error:0.030000	train-error:0.030883
[47]	test-error:0.030000	train-error:0.030483
[48]	test-error:0.028700	train-error:0.028833
[49]	test-error:0.028200	train-error:0.028533
[50]	test-error:0.027100	train-error:0.029800
[51]	test-error:0.028300	train-error:0.029900
[52]	test-error:0.028500	train-error:0.027833
[53]	test-error:0.028200	train-error:0.027600
[54]	test-error:0.028300	train-error:0.027533
[55]	test-error:0.028500	train-error:0.027433
[56]	test-error:0.027300	train-error:0.027200
[57]	test-error:0.029100	train-error:0.027000
[58]	test-error:0.027000	train-error:0.026333
[59]	test-error:0.028500	train-error:0.025733
[60]	test-error:0.028000	train-error:0.024750
[61]	test-error:0.028400	train-error:0.025383
[62]	test-error:0.027100	train-error:0.025867
[63]	test-error:0.027100	train-error:0.025717
[64]	test-error:0.026900	train-error:0.025117
[65]	test-error:0.028900	train-error:0.025533
[66]	test-error:0.028200	train-error:0.023000
[67]	test-error:0.028100	train-error:0.024217
[68]	test-error:0.026900	train-error:0.024117
[69]	test-error:0.027600	train-error:0.023050
[70]	test-error:0.027300	train-error:0.024200
[71]	test-error:0.027700	train-error:0.022917
[72]	test-error:0.027400	train-error:0.021667
[73]	test-error:0.027700	train-error:0.022483
[74]	test-error:0.027500	train-error:0.022467
[75]	test-error:0.027800	train-error:0.021800
[76]	test-error:0.026200	train-error:0.022183
[77]	test-error:0.027900	train-error:0.022733
[78]	test-error:0.027700	train-error:0.021800
[79]	test-error:0.028300	train-error:0.021650
[80]	test-error:0.026600	train-error:0.020633
[81]	test-error:0.027900	train-error:0.020600
