[1]	test-error:0.163400	train-error:0.587800
[2]	test-error:0.092600	train-error:0.169317
[3]	test-error:0.077000	train-error:0.121300
[4]	test-error:0.062900	train-error:0.099450
[5]	test-error:0.055200	train-error:0.087250
[6]	test-error:0.051300	train-error:0.079750
[7]	test-error:0.049500	train-error:0.072767
[8]	test-error:0.044900	train-error:0.069733
[9]	test-error:0.043000	train-error:0.066300
[10]	test-error:0.041900	train-error:0.061733
[11]	test-error:0.038800	train-error:0.059967
[12]	test-error:0.036500	train-error:0.058467
[13]	test-error:0.036000	train-error:0.054300
[14]	test-error:0.035600	train-error:0.052533
[15]	test-error:0.034900	train-error:0.051183
[16]	test-error:0.033100	train-error:0.049350
[17]	test-error:0.033000	train-error:0.047167
[18]	test-error:0.032500	train-error:0.047000
[19]	test-error:0.031500	train-error:0.045267
[20]	test-error:0.030500	train-error:0.046583
[21]	test-error:0.031100	train-error:0.044267
[22]	test-error:0.029000	train-error:0.043867
[23]	test-error:0.029600	train-error:0.040600
[24]	test-error:0.028600	train-error:0.041283
[25]	test-error:0.028800	train-error:0.040167
[26]	test-error:0.027800	train-error:0.039450
[27]	test-error:0.025800	train-error:0.038383
[28]	test-error:0.025700	train-error:0.038183
[29]	test-error:0.026400	train-error:0.038150
[30]	test-error:0.026000	train-error:0.037717
[31]	test-error:0.026200	train-error:0.036500
[32]	test-error:0.025800	train-error:0.035050
[33]	test-error:0.024800	train-error:0.035550
[34]	test-error:0.025500	train-error:0.035233
[35]	test-error:0.025300	train-error:0.035217
[36]	test-error:0.024700	train-error:0.034050
[37]	test-error:0.023900	train-error:0.034333
[38]	test-error:0.025200	train-error:0.032917
[39]	test-error:0.024800	train-error:0.032833
[40]	test-error:0.024200	train-error:0.031817
[41]	test-error:0.023700	train-error:0.031400
[42]	test-error:0.024300	train-error:0.031167
[43]	test-error:0.024500	train-error:0.031883
[44]	test-error:0.023800	train-error:0.030917
[45]	test-error:0.023500	train-error:0.029750
[46]	test-error:0.023700	train-error:0.030250
[47]	test-error:0.023300	train-error:0.029667
[48]	test-error:0.023500	train-error:0.030800
[49]	test-error:0.022200	train-error:0.029817
[50]	test-error:0.023400	train-error:0.028183
[51]	test-error:0.022500	train-error:0.029400
[52]	test-error:0.023000	train-error:0.028767
[53]	test-error:0.022900	train-error:0.027350
[54]	test-error:0.021900	train-error:0.026683
